job_id,title,skill_name,location,formatted_experience_level,formatted_work_type,experience_group
4401464202,junior creative designer,Design,Jakarta,not_specified,Full-time,other
4401464202,junior creative designer,Art/Creative,Jakarta,not_specified,Full-time,other
4401464202,junior creative designer,Information Technology,Jakarta,not_specified,Full-time,other
4398796723,sales specialist,Sales,Jakarta Metropolitan Area,not_specified,Full-time,other
4398796723,sales specialist,Business Development,Jakarta Metropolitan Area,not_specified,Full-time,other
4370611510,commissioning manager data centre,Project Management,Greater Batam,Mid-Senior level,Full-time,senior
4370919814,director organizational performance bangkok based,Research,Jakarta,not_specified,Full-time,other
4370919814,director organizational performance bangkok based,Analyst,Jakarta,not_specified,Full-time,other
4370919814,director organizational performance bangkok based,Information Technology,Jakarta,not_specified,Full-time,other
4379633757,backend engineer python sde 1,Engineering,Jakarta Metropolitan Area,not_specified,Full-time,other
4379633757,backend engineer python sde 1,Information Technology,Jakarta Metropolitan Area,not_specified,Full-time,other
4308674854,data analyst marine engineering,Information Technology,Greater Surabaya,not_specified,Full-time,other
4289709620,javanese language specialist freelance ai trainer project,Education,Indonesia,not_specified,Contract,other
4289709620,javanese language specialist freelance ai trainer project,Training,Indonesia,not_specified,Contract,other
4400100319,senior manager materials operations,Quality Assurance,Jakarta,not_specified,Full-time,other
4400100319,senior manager materials operations,Supply Chain,Jakarta,not_specified,Full-time,other
4400100319,senior manager materials operations,Manufacturing,Jakarta,not_specified,Full-time,other
4331192253,welsh language specialist freelance ai trainer project,Education,Indonesia,not_specified,Contract,other
4331192253,welsh language specialist freelance ai trainer project,Training,Indonesia,not_specified,Contract,other
4380308288,regional operation manager shipping,Management,Medan,not_specified,Full-time,other
4380308288,regional operation manager shipping,Manufacturing,Medan,not_specified,Full-time,other
4371281657,flm,Other,Surabaya,not_specified,Full-time,other
4401456493,creator operations project intern tiktok local services creator operations 2026 start bs ms,Education,Jakarta,not_specified,Internship,other
4401456493,creator operations project intern tiktok local services creator operations 2026 start bs ms,Training,Jakarta,not_specified,Internship,other
4364382212,supply chain scheduler,Management,Batam,not_specified,Full-time,other
4364382212,supply chain scheduler,Manufacturing,Batam,not_specified,Full-time,other
4402504612,prediction voting operations user growth specialist,Finance,Apac,Mid-Senior level,Full-time,senior
4402504612,prediction voting operations user growth specialist,Product Management,Apac,Mid-Senior level,Full-time,senior
4401472122,freelance consultant indonesia fmcg,Consulting,Indonesia,Mid-Senior level,Contract,senior
4401472122,freelance consultant indonesia fmcg,Marketing,Indonesia,Mid-Senior level,Contract,senior
4401472122,freelance consultant indonesia fmcg,Research,Indonesia,Mid-Senior level,Contract,senior
4378587959,supervisor shift production foods indonesia boyolali,Quality Assurance,Boyolali,not_specified,Full-time,other
4378587959,supervisor shift production foods indonesia boyolali,Production,Boyolali,not_specified,Full-time,other
4378587959,supervisor shift production foods indonesia boyolali,Engineering,Boyolali,not_specified,Full-time,other
4279577369,shift supervisor port terminal,Management,Jakarta,not_specified,Full-time,other
4279577369,shift supervisor port terminal,Manufacturing,Jakarta,not_specified,Full-time,other
4370683669,fullstack engineer id risk sde 2,Engineering,Jakarta Metropolitan Area,not_specified,Full-time,other
4370683669,fullstack engineer id risk sde 2,Information Technology,Jakarta Metropolitan Area,not_specified,Full-time,other
4402508409,hr specialist asia,Human Resources,Cirebon,not_specified,Full-time,other
4342589274,sr. associate quality control lab microbiology,Research,Batam,not_specified,Full-time,other
4342589274,sr. associate quality control lab microbiology,Analyst,Batam,not_specified,Full-time,other
4342589274,sr. associate quality control lab microbiology,Information Technology,Batam,not_specified,Full-time,other
4333725550,commissioning engineer,Engineering,Jakarta Metropolitan Area,not_specified,Full-time,other
4333725550,commissioning engineer,Information Technology,Jakarta Metropolitan Area,not_specified,Full-time,other
4401463425,sales stock associate,Sales,Kota Surabaya,not_specified,Full-time,other
4401463425,sales stock associate,Business Development,Kota Surabaya,not_specified,Full-time,other
4390102191,country manager indonesia,Sales,Gambir,not_specified,Full-time,other
4390102191,country manager indonesia,Business Development,Gambir,not_specified,Full-time,other
4401442778,agen telesales,Sales,East Java,Entry level,Full-time,junior
4380738542,warehouse supervisor pontianak,Management,Pontianak,not_specified,Full-time,other
4380738542,warehouse supervisor pontianak,Manufacturing,Pontianak,not_specified,Full-time,other
4401459619,field sales supervisor,Sales,Jakarta,not_specified,Full-time,other
4401459619,field sales supervisor,Business Development,Jakarta,not_specified,Full-time,other
4336443278,chartering manager tug barges drybulk,Management,Jakarta,not_specified,Full-time,other
4336443278,chartering manager tug barges drybulk,Manufacturing,Jakarta,not_specified,Full-time,other
4402521210,internal audit supervisor,Accounting/Auditing,Greater Surabaya,not_specified,Internship,other
4402521210,internal audit supervisor,Finance,Greater Surabaya,not_specified,Internship,other
4401461299,slack engineer,Product Management,Jakarta,Associate,Full-time,junior
4380360511,cpc cashier,Other,Semarang,not_specified,Full-time,other
4277663925,accounts receivable coordinator,Accounting/Auditing,Greater Surabaya,not_specified,Full-time,other
4277663925,accounts receivable coordinator,Finance,Greater Surabaya,not_specified,Full-time,other
4370875584,korean language data contributor multimodal freelance ai trainer project,Marketing,Indonesia,not_specified,Contract,other
4370875584,korean language data contributor multimodal freelance ai trainer project,Public Relations,Indonesia,not_specified,Contract,other
4370875584,korean language data contributor multimodal freelance ai trainer project,Writing/Editing,Indonesia,not_specified,Contract,other
4401447890,artificial intelligence engineer,Engineering,Jakarta Metropolitan Area,not_specified,Full-time,other
4401447890,artificial intelligence engineer,Information Technology,Jakarta Metropolitan Area,not_specified,Full-time,other
4401451117,virtual assistant,Administrative,Bali,not_specified,Full-time,other
4399981886,security manager indonesia,Other,Jakarta,not_specified,Full-time,other
4399981886,security manager indonesia,Information Technology,Jakarta,not_specified,Full-time,other
4399981886,security manager indonesia,Management,Jakarta,not_specified,Full-time,other
4401461508,partner marketing manager tech alliances and cloud providers,Product Management,Kampung Patipi Pulau,not_specified,Full-time,other
4401461508,partner marketing manager tech alliances and cloud providers,Marketing,Kampung Patipi Pulau,not_specified,Full-time,other
4370645506,senior backend engineer international sde 3,Engineering,Jakarta Metropolitan Area,not_specified,Internship,other
4370645506,senior backend engineer international sde 3,Information Technology,Jakarta Metropolitan Area,not_specified,Internship,other
4379601745,senior quantity surveyor mining o g,Project Management,Jakarta Metropolitan Area,Mid-Senior level,Full-time,senior
4379601745,senior quantity surveyor mining o g,Consulting,Jakarta Metropolitan Area,Mid-Senior level,Full-time,senior
4379601745,senior quantity surveyor mining o g,Engineering,Jakarta Metropolitan Area,Mid-Senior level,Full-time,senior
4364261773,sales wini nusa tenggara timur,Sales,East Nusa Tenggara,not_specified,Full-time,other
4364261773,sales wini nusa tenggara timur,Business Development,East Nusa Tenggara,not_specified,Full-time,other
4401448581,pekerja umum operator,Manufacturing,West Java,Associate,Full-time,junior
4371120241,project manager furniture hotel fit out,Project Management,Bogor,not_specified,Full-time,other
4371120241,project manager furniture hotel fit out,Information Technology,Bogor,not_specified,Full-time,other
4402528599,kundenberater spielwaren m w d,Other,Lembang,not_specified,Full-time,other
4402515913,encanador,Management,Kecamatan Natal,not_specified,Full-time,other
4402515913,encanador,Manufacturing,Kecamatan Natal,not_specified,Full-time,other
4348679839,process engineer 1,Management,Kecamatan Dumai Timur,not_specified,Full-time,other
4348679839,process engineer 1,Manufacturing,Kecamatan Dumai Timur,not_specified,Full-time,other
4370576052,manager indirect tax advisory singapore based relocation support provided,Accounting/Auditing,Jakarta,Mid-Senior level,Full-time,senior
4370576052,manager indirect tax advisory singapore based relocation support provided,Finance,Jakarta,Mid-Senior level,Full-time,senior
4400572695,senior accountant us gaap remote,Accounting/Auditing,Indonesia,Mid-Senior level,Full-time,senior
4400572695,senior accountant us gaap remote,Finance,Indonesia,Mid-Senior level,Full-time,senior
4400572695,senior accountant us gaap remote,Consulting,Indonesia,Mid-Senior level,Full-time,senior
4401442450,senior creative designer,Design,Jakarta,not_specified,Full-time,other
4401442450,senior creative designer,Art/Creative,Jakarta,not_specified,Full-time,other
4401442450,senior creative designer,Information Technology,Jakarta,not_specified,Full-time,other
4370549738,maintenance technician t,Management,Bekasi,not_specified,Full-time,other
4370549738,maintenance technician t,Manufacturing,Bekasi,not_specified,Full-time,other
4362124095,product support analyst i,Information Technology,Indonesia,not_specified,Full-time,other
4380505740,global securities operations transaction filtering nct,Management,Jakarta,not_specified,Full-time,other
4380505740,global securities operations transaction filtering nct,Manufacturing,Jakarta,not_specified,Full-time,other
4397670912,business development manager consulting,Business Development,Surabaya,not_specified,Full-time,other
4397670912,business development manager consulting,Sales,Surabaya,not_specified,Full-time,other
4400100359,asia equity sales,Finance,Jakarta,not_specified,Full-time,other
4400100359,asia equity sales,Sales,Jakarta,not_specified,Full-time,other
4401460562,sous chef banquet events,Management,Denpasar,not_specified,Full-time,other
4401460562,sous chef banquet events,Manufacturing,Denpasar,not_specified,Full-time,other
4400363471,continuous improvement supervisor,Management,Jakarta Metropolitan Area,not_specified,Full-time,other
4400363471,continuous improvement supervisor,Manufacturing,Jakarta Metropolitan Area,not_specified,Full-time,other
4401450508,chief of staff,Administrative,Denpasar,not_specified,Full-time,other
4399987451,zonal sales lead,Sales,Jakarta,not_specified,Full-time,other
4378189237,medical representative batam,Sales,Tanah Abang,not_specified,Full-time,other
4378189237,medical representative batam,Business Development,Tanah Abang,not_specified,Full-time,other
4378189237,medical representative batam,Distribution,Tanah Abang,not_specified,Full-time,other
4378907157,senior government and military affairs indonesia,Other,Jakarta,not_specified,Full-time,other
4399990382,fundraising intern,Other,Jakarta,not_specified,Full-time,other
4389686707,cw service technician,Information Technology,Surabaya,not_specified,Temporary,other
4400352931,business development executive instument,Business Development,Jakarta Metropolitan Area,not_specified,Full-time,other
4400352931,business development executive instument,Sales,Jakarta Metropolitan Area,not_specified,Full-time,other
4401458426,mcn agency operations project intern tiktok local services mcn agency 2026 start bs ms,Education,Jakarta,not_specified,Internship,other
4401458426,mcn agency operations project intern tiktok local services mcn agency 2026 start bs ms,Training,Jakarta,not_specified,Internship,other
4401451338,digital marketing specialist,Marketing,Singkang,not_specified,Full-time,other
4401451338,digital marketing specialist,Sales,Singkang,not_specified,Full-time,other
4305588322,customer service document staff placement mamuju west sulawesi,Other,West Sulawesi,not_specified,Full-time,other
4370999214,customer success manager jakarta,Other,Jakarta,not_specified,Full-time,other
4389975722,senior quality assurance engineer,Engineering,Jakarta,not_specified,Full-time,other
4389975722,senior quality assurance engineer,Information Technology,Jakarta,not_specified,Full-time,other
4401448977,frontend developer,Engineering,Jakarta Metropolitan Area,not_specified,Contract,other
4401448977,frontend developer,Information Technology,Jakarta Metropolitan Area,not_specified,Contract,other
4370870630,japanese language data contributor multimodal freelance ai trainer project,Marketing,Indonesia,not_specified,Contract,other
4370870630,japanese language data contributor multimodal freelance ai trainer project,Public Relations,Indonesia,not_specified,Contract,other
4370870630,japanese language data contributor multimodal freelance ai trainer project,Writing/Editing,Indonesia,not_specified,Contract,other
4364213975,supply chain scheduler,Management,Batam,not_specified,Full-time,other
4364213975,supply chain scheduler,Manufacturing,Batam,not_specified,Full-time,other
4402519721,dental hygienist,Health Care Provider,Pirime,not_specified,Part-time,other
4401444891,client service consultant operations jg 8 12 months fixed term contract,Other,West Karawang,not_specified,Contract,other
4331307067,pashto language specialist freelance ai trainer project,Education,Indonesia,not_specified,Contract,other
4331307067,pashto language specialist freelance ai trainer project,Training,Indonesia,not_specified,Contract,other
4370563475,manager indirect tax advisor bangkok based relocation support provided,Accounting/Auditing,Jakarta,Mid-Senior level,Full-time,senior
4370563475,manager indirect tax advisor bangkok based relocation support provided,Finance,Jakarta,Mid-Senior level,Full-time,senior
4401453718,sap document reporting compliance drc consultant taiwan egui regional localization,Information Technology,Apac,Mid-Senior level,Contract,senior
4402507622,part time search analyst indonesia work from home,Quality Assurance,Palu,Entry level,Part-time,junior
4402507622,part time search analyst indonesia work from home,Analyst,Palu,Entry level,Part-time,junior
4402507622,part time search analyst indonesia work from home,Information Technology,Palu,Entry level,Part-time,junior
4401449582,solutions and sales specialist,Sales,Jakarta,not_specified,Full-time,other
4401449582,solutions and sales specialist,Business Development,Jakarta,not_specified,Full-time,other
4401448902,data analytics sales specialist google cloud english bahasa indonesia,Sales,Jakarta,not_specified,Full-time,other
4401448902,data analytics sales specialist google cloud english bahasa indonesia,General Business,Jakarta,not_specified,Full-time,other
4401448902,data analytics sales specialist google cloud english bahasa indonesia,Customer Service,Jakarta,not_specified,Full-time,other
4401457511,finance direcror,Finance,Banten,not_specified,Full-time,other
4401457511,finance direcror,Sales,Banten,not_specified,Full-time,other
4401457419,frivillige chauff rer s ges til alsidige opgaver. r de kors hovedstaden,Other,Lembang,not_specified,Full-time,other
4370871599,portuguese language data contributor multimodal freelance ai trainer project,Marketing,Indonesia,not_specified,Contract,other
4370871599,portuguese language data contributor multimodal freelance ai trainer project,Public Relations,Indonesia,not_specified,Contract,other
4370871599,portuguese language data contributor multimodal freelance ai trainer project,Writing/Editing,Indonesia,not_specified,Contract,other
4402518706,forklift operator,Management,Bogor,not_specified,Full-time,other
4402518706,forklift operator,Manufacturing,Bogor,not_specified,Full-time,other
4389686981,manager omni channel activation,Sales,Jakarta,not_specified,Full-time,other
4389686981,manager omni channel activation,Business Development,Jakarta,not_specified,Full-time,other
4401452937,secretary,Administrative,Padang,not_specified,Full-time,other
4402513235,associate director business practices,Administrative,Gambir,not_specified,Full-time,other
4402538007,vice president business development,Business Development,Gambir,not_specified,Full-time,other
4402538007,vice president business development,Sales,Gambir,not_specified,Full-time,other
4402515810,sous chef henshin,Management,Jakarta,not_specified,Full-time,other
4402515810,sous chef henshin,Manufacturing,Jakarta,not_specified,Full-time,other
4399991401,senior director social environmental affairs field operations,Other,Jakarta,not_specified,Full-time,other
4402296976,computational biology genomics analyst,Information Technology,Apac,Mid-Senior level,Part-time,senior
4390325937,principal quality inspector,Quality Assurance,Batam,not_specified,Full-time,other
4379620051,project leader to partner insurance practice,Other,Jakarta Metropolitan Area,not_specified,Full-time,other
4275576816,pmo cfo,Project Management,Greater Surabaya,not_specified,Full-time,other
4275576816,pmo cfo,Information Technology,Greater Surabaya,not_specified,Full-time,other
4059071384,bulgari resort bali university intern operations,Management,Bali,not_specified,Full-time,other
4059071384,bulgari resort bali university intern operations,Manufacturing,Bali,not_specified,Full-time,other
4325176775,dental detailing manager,Health Care Provider,Kelurahan Pondok Pinang,not_specified,Full-time,other
4389953823,hns representative,Other,Jakarta,not_specified,Full-time,other
4399728098,gpu cuda engineer,Engineering,Indonesia,Mid-Senior level,Contract,senior
4380323582,business development executive,Business Development,Jakarta Metropolitan Area,not_specified,Full-time,other
4380323582,business development executive,Sales,Jakarta Metropolitan Area,not_specified,Full-time,other
4402529343,spa manager jakarta marriott hotel gelora,Management,Jakarta,not_specified,Full-time,other
4402529343,spa manager jakarta marriott hotel gelora,Manufacturing,Jakarta,not_specified,Full-time,other
4370880579,spanish latin america language data contributor multimodal freelance ai trainer project,Education,Indonesia,not_specified,Contract,other
4370880579,spanish latin america language data contributor multimodal freelance ai trainer project,Training,Indonesia,not_specified,Contract,other
4361286183,validation engineer,Quality Assurance,Batam,not_specified,Full-time,other
4401430748,devops engineer remote,Engineering,Indonesia,not_specified,Full-time,other
4401430748,devops engineer remote,Information Technology,Indonesia,not_specified,Full-time,other
4342650356,senior sales executive,Sales,Jakarta,not_specified,Full-time,other
4342650356,senior sales executive,Consulting,Jakarta,not_specified,Full-time,other
4342650356,senior sales executive,Business Development,Jakarta,not_specified,Full-time,other
4402531413,shotcut expert,Art/Creative,Apac,Mid-Senior level,Part-time,senior
4402531413,shotcut expert,Information Technology,Apac,Mid-Senior level,Part-time,senior
4402531413,shotcut expert,Consulting,Apac,Mid-Senior level,Part-time,senior
4401168998,libresprite pixel artist game art animation 65 jr remote,Design,Apj,Mid-Senior level,Contract,senior
4401168998,libresprite pixel artist game art animation 65 jr remote,Art/Creative,Apj,Mid-Senior level,Contract,senior
4401168998,libresprite pixel artist game art animation 65 jr remote,Information Technology,Apj,Mid-Senior level,Contract,senior
4401770811,2d game developer defold,Engineering,Apac,Mid-Senior level,Contract,senior
4401854560,speech voice specialist ai remote,Information Technology,Apj,Associate,Contract,junior
4399791083,b2b sales research specialist,Sales,Southeast Asia,Mid-Senior level,Full-time,senior
4399791083,b2b sales research specialist,Administrative,Southeast Asia,Mid-Senior level,Full-time,senior
4399791083,b2b sales research specialist,Management,Southeast Asia,Mid-Senior level,Full-time,senior
4399955737,ui ux design manager fully remote,Design,Apac,Mid-Senior level,Full-time,senior
4399955737,ui ux design manager fully remote,Art/Creative,Apac,Mid-Senior level,Full-time,senior
4399955737,ui ux design manager fully remote,Marketing,Apac,Mid-Senior level,Full-time,senior
4402013509,crisis communications manager,Human Resources,Apac,Mid-Senior level,Contract,senior
4401188631,machine learning data scientist remote,Other,Apj,Mid-Senior level,Contract,senior
4402698926,java developer,Information Technology,Apac,Mid-Senior level,Contract,senior
4402698926,java developer,Engineering,Apac,Mid-Senior level,Contract,senior
4402010603,program manager crisis ops,Human Resources,Apac,Mid-Senior level,Contract,senior
4401425223,llm product manager remote,Product Management,Apj,Associate,Contract,junior
4401425223,llm product manager remote,Marketing,Apj,Associate,Contract,junior
4400196682,marketing operations manager user growth marketing campaigns,Marketing,Apac,Associate,Full-time,junior
4401858814,freelance english dialogue list transcriber,Writing/Editing,Apac,not_specified,Part-time,other
4401858814,freelance english dialogue list transcriber,Production,Apac,not_specified,Part-time,other
4402204730,japanese language expert,Training,Apac,Mid-Senior level,Contract,senior
4401855443,ai voice coach speech dialects remote,Design,Apj,Associate,Contract,junior
4401855443,ai voice coach speech dialects remote,Art/Creative,Apj,Associate,Contract,junior
4401855443,ai voice coach speech dialects remote,Information Technology,Apj,Associate,Contract,junior
4402242113,program quality lead,Analyst,Apac,Mid-Senior level,Full-time,senior
4402242113,program quality lead,Quality Assurance,Apac,Mid-Senior level,Full-time,senior
4402242113,program quality lead,Research,Apac,Mid-Senior level,Full-time,senior
4401874650,head of global financial institutions remote leading asian cross border payment firm,Finance,Apac,Executive,Full-time,senior
4401874650,head of global financial institutions remote leading asian cross border payment firm,Business Development,Apac,Executive,Full-time,senior
4401874650,head of global financial institutions remote leading asian cross border payment firm,Sales,Apac,Executive,Full-time,senior
4401472488,account manager dna synthesis s korea,Sales,Apac,not_specified,Full-time,other
4401472488,account manager dna synthesis s korea,Business Development,Apac,not_specified,Full-time,other
4402531557,molecular biologist crispr,Training,Apac,Mid-Senior level,Contract,senior
4402905103,python developer,Information Technology,Apac,Mid-Senior level,Contract,senior
